,period_end,dni
549,2023-04-20T13:00:00Z,0
550,2023-04-20T13:30:00Z,0
551,2023-04-20T14:00:00Z,0
552,2023-04-20T14:30:00Z,0
553,2023-04-20T15:00:00Z,0
554,2023-04-20T15:30:00Z,0
555,2023-04-20T16:00:00Z,0
556,2023-04-20T16:30:00Z,0
557,2023-04-20T17:00:00Z,0
558,2023-04-20T17:30:00Z,0
559,2023-04-20T18:00:00Z,0
560,2023-04-20T18:30:00Z,0
561,2023-04-20T19:00:00Z,0
562,2023-04-20T19:30:00Z,0
563,2023-04-20T20:00:00Z,0
564,2023-04-20T20:30:00Z,0
565,2023-04-20T21:00:00Z,0
566,2023-04-20T21:30:00Z,0
567,2023-04-20T22:00:00Z,0
568,2023-04-20T22:30:00Z,0
569,2023-04-20T23:00:00Z,0
570,2023-04-20T23:30:00Z,0
571,2023-04-21,0
572,2023-04-21T00:30:00Z,0
573,2023-04-21T01:00:00Z,0
574,2023-04-21T01:30:00Z,0
575,2023-04-21T02:00:00Z,0
576,2023-04-21T02:30:00Z,0
577,2023-04-21T03:00:00Z,0
578,2023-04-21T03:30:00Z,0
579,2023-04-21T04:00:00Z,0
580,2023-04-21T04:30:00Z,0
581,2023-04-21T05:00:00Z,0
582,2023-04-21T05:30:00Z,0
583,2023-04-21T06:00:00Z,0
584,2023-04-21T06:30:00Z,0
585,2023-04-21T07:00:00Z,0
586,2023-04-21T07:30:00Z,0
587,2023-04-21T08:00:00Z,0
588,2023-04-21T08:30:00Z,0
589,2023-04-21T09:00:00Z,0
590,2023-04-21T09:30:00Z,0
591,2023-04-21T10:00:00Z,0
592,2023-04-21T10:30:00Z,0
593,2023-04-21T11:00:00Z,0
594,2023-04-21T11:30:00Z,0
595,2023-04-21T12:00:00Z,0
596,2023-04-21T12:30:00Z,0
597,2023-04-21T13:00:00Z,0
598,2023-04-21T13:30:00Z,0
599,2023-04-21T14:00:00Z,0
600,2023-04-21T14:30:00Z,0
601,2023-04-21T15:00:00Z,0
602,2023-04-21T15:30:00Z,0
603,2023-04-21T16:00:00Z,0
604,2023-04-21T16:30:00Z,0
605,2023-04-21T17:00:00Z,0
606,2023-04-21T17:30:00Z,0
607,2023-04-21T18:00:00Z,0
608,2023-04-21T18:30:00Z,0
609,2023-04-21T19:00:00Z,0
610,2023-04-21T19:30:00Z,0
611,2023-04-21T20:00:00Z,0
612,2023-04-21T20:30:00Z,0
613,2023-04-21T21:00:00Z,0
614,2023-04-21T21:30:00Z,0
615,2023-04-21T22:00:00Z,16
616,2023-04-21T22:30:00Z,67
617,2023-04-21T23:00:00Z,105
618,2023-04-21T23:30:00Z,104
619,2023-04-22,97
620,2023-04-22T00:30:00Z,117
621,2023-04-22T01:00:00Z,155
622,2023-04-22T01:30:00Z,185
623,2023-04-22T02:00:00Z,208
624,2023-04-22T02:30:00Z,235
625,2023-04-22T03:00:00Z,266
626,2023-04-22T03:30:00Z,300
627,2023-04-22T04:00:00Z,338
628,2023-04-22T04:30:00Z,355
629,2023-04-22T05:00:00Z,343
630,2023-04-22T05:30:00Z,322
631,2023-04-22T06:00:00Z,289
632,2023-04-22T06:30:00Z,186
633,2023-04-22T07:00:00Z,24
634,2023-04-22T07:30:00Z,0
635,2023-04-22T08:00:00Z,0
636,2023-04-22T08:30:00Z,0
637,2023-04-22T09:00:00Z,0
638,2023-04-22T09:30:00Z,0
639,2023-04-22T10:00:00Z,0
640,2023-04-22T10:30:00Z,0
641,2023-04-22T11:00:00Z,0
642,2023-04-22T11:30:00Z,0
643,2023-04-22T12:00:00Z,0
644,2023-04-22T12:30:00Z,0
645,2023-04-22T13:00:00Z,0
646,2023-04-22T13:30:00Z,0
647,2023-04-22T14:00:00Z,0
648,2023-04-22T14:30:00Z,0
649,2023-04-22T15:00:00Z,0
650,2023-04-22T15:30:00Z,0
651,2023-04-22T16:00:00Z,0
652,2023-04-22T16:30:00Z,0
653,2023-04-22T17:00:00Z,0
654,2023-04-22T17:30:00Z,0
655,2023-04-22T18:00:00Z,0
656,2023-04-22T18:30:00Z,0
657,2023-04-22T19:00:00Z,0
658,2023-04-22T19:30:00Z,0
659,2023-04-22T20:00:00Z,0
660,2023-04-22T20:30:00Z,0
661,2023-04-22T21:00:00Z,0
662,2023-04-22T21:30:00Z,4
663,2023-04-22T22:00:00Z,110
664,2023-04-22T22:30:00Z,185
665,2023-04-22T23:00:00Z,238
666,2023-04-22T23:30:00Z,263
667,2023-04-23,282
668,2023-04-23T00:30:00Z,308
669,2023-04-23T01:00:00Z,344
670,2023-04-23T01:30:00Z,378
671,2023-04-23T02:00:00Z,407
672,2023-04-23T02:30:00Z,424
673,2023-04-23T03:00:00Z,433
